Title.,GLASS Window,GLASS Component/Experience,Explanation/Elaboration,Connection to UN Sustainable Development Goals/Grand Challenges,"Describe the impact this experience had on your professional, academic, and personal development/goals",Start Date,End Date,Links and Supplemental Information,Photos,Captions for Photos,Tandon Areas of Excellence,How did you find out about this opportunity?,Detailed Location,GLASS Funding Used,Semester
Executive Board Treasurer,Leadership Development,Student Activity/Event/Club,"I am the treasurer of Theta Tau, a professional engineering fraternity at NYU Tandon. I manage fundraisers and allocate funds for members to run events related to professionalism and service. ","This leadership position contributes to service events in the community, as well as events that encourage team bonding and professional development. Examples of event topics include mental health, inclusive design, and the Myanmar civil war. I think this connects to the UN goals of good health and well-being, quality education, and reduced inequalities because we are helping a small community be educated about health, equality, and global matters and engage in their college lives more. ","The fundraisers and events that I help organize help people engage in our community and allow us to host events on topics students are passionate about. This position has really helped me practice making big decisions for a group and managing large sums of money. I learned about professional conferences through this organization and both received and gave help on academic work. Being treasurer has not only sharpened my money management skills but also helped me become better at leadership skills like communication, planning, and working with an executive team.",5/4/2022,5/17/2023,nyuthetatau.com,"DSCF3443.JPG (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/6G34N0wG_aKm6jD2YpX7Ow/fLDDs9DY2jd9sYAMtt4FO2mQjhnYDOIQqE4vDOwNOwdFpvMBBzCzNKT9AQO5UpNuBDCMGcFeyE_3NfWcm5uPLoEQ8fkMC4p7y0bnLlNqPKg4gDn75Ss99iMn39xw17xnOdFz7d4MXBYyRYb_h0Qozg/7arDKiFLVLHEZNWVfmPOH7lPtCrOxmFLpc2oRgunyF4),CA3A4113.CR2 (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/dGHX43YeU2N19imsuWBupg/ZYawo4qkQovdK526mUXfLcMW6VdiDKnGyE8IaWfaTAESrKqzyGqnCxo78yD0JSrrGy25Uip_j-tFPaD5dS74FUnOcE75iIqnPJC81z1zrJnomtplDIdyfn-OKGgPTo7YoeQcjVOx_lR5jH7CU3tu2w/7-v0--eDg9xfnSJAeU_YIRSg8KYT1tfS2f25FsKgIvw)","service project at Astoria Park, professional workshop",,"I found out about this through my freshman year roommate, who wanted to join the organization. ","NYU Tandon 

Brooklyn, NY",No,"Fall/ Winter Senior, Spring/Summer Senior"
NYU Summer Research,Academic Excellence,Research/Lab Work,Rsearched robotic gait and stability testing on a passive bipedal walker. Designed stability testing platform. Mostly using microcontrollers and servo motors.,"Passive bipedal walkers like this are much more efficient at walking in terms of energy consumption than other kinds of bipedal robots. They utlilize gravity to drive them forward, much like human walking. Therefore, these robots could serve as a useful test bed for future leg prosthetics. Ensuring that amputees or other people with mobility issues can continue to live an active life fits within the UN Good Health and Well Being sustainability goals. These robots could also be used to design robust bipedal robots to carry out dangerous tasks.","I am focused on continuing my education after graduating, and trying to obtain a PhD. Therefore completing this research experience will allow me to apply to schools that fit my envisioned career path. Furthermore, this has allowed me to narrow down what I want to do in the future in terms of research. I have gained technical skills such as C++ coding and learning skills that would generally be applicable to electrical engineers.",6/6/2022,8/12/2022,https://wp.nyu.edu/adol/,,- No photos -,"Data Science/AI/Robotics, Health",New York University Email,"Brooklyn, NY",No,Spring/Summer Junior
KickStart Europe 2022,Global Competency,Conference,Went to Amsterdam with three fellow scholars over spring break to partake in the Kickstart Europe 2022 Conference. The conference focused on Europe's role in a rapidly changing world ,"Understanding the global changes occuring and how Europe's unique environment can best adapt to them is essential to all UN Sustainable Development Goals and Challenges. Almost all of the issues were discussed, from implementing data centers in Africa, to going carbon neutral. Furthermore the conference tried to bridge the gap between industry leaders and policy makers. If one topic had to be picked, it could be said that the conference's most discussed subject was Responsible Consumption and Production.","This conference was my first professional conference I ever attended. It was eye opening to see how the proceeded. I think that it was also interesting to attend a mostly business and not scientifc focused conference. I was able to talk to some employees that focused in green logistics, which proved to be a very interesting conundrum. I think this conference made me potentially more interested in ooking towards the role science and engineering plays in politics.",3/14/2022,3/17/2022,https://www.kickstartconf.eu/outlook-report.html,,- No photo -,,Internet B),Amsterdam,Yes,Spring/Summer Junior
Captain of the Contactless Robotics Team: Flexible AI-enabled Mechatronic Systems Lab,Leadership Development,Student Activity/Event/Club,Captain at the Flexible AI-enabled Mechatronic Systems Lab at Tandon. I supervise a team of 10-15 people as we build a surgical robotic arm capable of complex operations. Utilizes AI machine learning as well as specially modified end effectors.,"This is applicable to the health and well being section of the UN Sustainable Development Goals/Grand Challenges. Better medical robots could enable surgeries that were impossible before. Furthermore, specialist doctors could assist in surgeries from all around the world. Ideally, the robot would eventually be able to handle simple tasks such as suturing on all its own.","This has been my second time being in a leadership role at a Tandon VIP team. However, this time the team I am heading is much less established. As a result, it was very fun to hire and guide more junior members and to try and structure us. I think this experience taught me a lot about self-motivation and on how to try and build something.",1/1/2022,5/20/2023,https://engineering.nyu.edu/research-innovation/student-research/vertically-integrated-projects/vip-teams/flexible-ai-enabled-mechatronic-systems-lab-fams,,- No Photo -,Data Science/AI/Robotics,I know the professor in charge of the program.,Tandon School of Engineering,No,Spring/Summer Junior
CentraleSupelec Study Abroad ,Global Competency,Study Abroad,"I studied abroad at the french graduate school, CentraleSupelec. There I studied varying subjects such as robot kinematics and advanced physics.","Studing abroad let me take part in a global experienc with many students from all seven continents. Furthermore, it let me interact and take classes with students who were much older than me and let me discuss my future with them. As a result, it has driven me to look for an international career. Therefore I think it fits under ""Partnerships for the Goals"" since I formed many stron connections. ","This experience let me take classes such as quantum physics, advanced additive manufactuing, and cobotics. These classes are not only not taught at Tandon, but they are also unavailable for me to take since I am not a masters student. As a result it let me gain a wide berth of knowledge I would have never had at Tandon. I also got to befriend phD students, some of which are now beginning their careers as professors. Connections I intend to use.",2/11/2022,6/15/2022,https://www.centralesupelec.fr/,,- No Photos - ,,Personnal Knowledge of the school,"Paris, France",No,Spring/Summer Sophomore 
World Cities Summit,Professional Development,Conference,"This year's theme for the conference was ""Livable and Sustainable Cities: Emerging Stronger"". The conference was a platform for government leaders and industry experts to address issues on creating more livable and sustainable cities. ","SDG 11: Sustainable cities and communities 

SDG 13: Climate action

One of the main focuses at this convention was creating more resilient cities in the face of the ongoing climate crisis. Many cities are preparing to brace themselves for the impacts of climate change. Apart from adapting built infrastructure to be more adaptable to extreme weather events, talk about transition to clean energy and reaching goals of net zero carbon emissions was a big running theme as well.",This confrence helped me learn a lot about the important skills needed in the industry that I am pursuing. It was also amazing to hear industry experts as well as government leaders from all around the world talk about the importance of urban planning for the future. This conference was a big affirmation for my academic and professional goals. I learnt a lot at the conference and also got to meet many industry professionals.,7/31/2022,8/3/2022,https://www.worldcitiessummit.com.sg/,"photo_2022-08-04 01.37.38.jpeg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/vab9hg-OCcQDVaW0WwJ1nA/i9YcVB8zKlPbfKKqMLjcJhQsf6LOYVJeAhC0ztlBl9daquYu0GZvquMVopAt_NL7R_hW2cPRBzjKVdY9YMcNu4LsYaYypsB11MBcGnLumsLMuPPLeCumVqDH8b25yOKuaEYCR7kTohrX-9w4lEVGvnWb7RDvEDLEW3nnIW3kEBo/aRFK_bdeaQysANm43PtXPa7-E7vEVnClYCQ4Xcso-Zs),photo_2022-08-04 01.37.51.jpeg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/gclDBEG8ESXyYC0tSRTa0g/HwyL36pmnT6zGpGS9PGOd7lm1mAhuaaxHd3L5XPnTD0hiP4dHsDDMmz-HkstcZuFsQ178EKcsTyiWqA915Pc7TkjGCZX_d7sUXOKw3xkMPU5QXWKxaQUjp46g5YZ4_Vlxkrv5KGeyLn8ZdbUH6ff3DZ00dHscRtvOvQt8yATW94/kj1Iv8wxxme3hSXCh15iGrIj8zLgA0PYPqT-9xIdS2U),photo_2022-08-04 01.37.49.jpeg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/zuIj1BqTa2GS1PlRr5FDaw/CA5Rc0WuOzz3lnD0J6qzq9lp-yINbewjtz2RFrUzLI33-RTQYgCzzL_BeUzifxl1sLJI7nwWWWzltmO_5wvYM_t7AjuXm3bzArdvKk1wJOE7wvqT5dDqGZyMhR_yJdhzs-7th00jFp1xN0JIcqTtPmtSmD3AKL4t1-L7RfU3nxU/nV9AhG5hhWVl1Wm00JO3yhfvY-Gko-r2EPmLpdM_0XE),photo_2022-08-04 01.37.45.jpeg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/XKzb4MgkRMmjyq5Dpvk2jw/VDfTydb3K3ka6LjcznGO9JTVQ8FwSXelIcRjRjY1LEVj72tX6UZPTphVMLb-bpssg8AxXgSbKs6q-wRxBza0FjJ6mS3NVi9gPKJEZClOT2hBaQLqIUSVOpOOLz-worRUg4oQb00iKwPQeYN16sM3jd8mldFeaT0qH2RFy4ILo7o/2jkNxJd8SjkYAGKAlqM9bsYNGvuFED4LqqCKHZaCoDo),photo_2022-08-04 01.37.42.jpeg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/JvMwLTjh2BFS7sQyAqxBJQ/xiPEbknahXacwxW91z7ztj8XxLRxQJUribVZTgT5F2_krmcoI5NVNwuto1J6heEpNCbePvFS-lQbDmf20WiVNzk6oUSvFZ8Q-nSibeMfH76_Qj_9tLgoGShTVBWjUNAbUuOmrnZT8ELvQ6LU56cHVLFEfCFndQjvIXX-JLxfm8Q/kb9CzQQxTvDHpgd018MDXcS3bpDF5VDAghP7AGq2vO4)","Images of interesting posters of work done by local agencies in Singapore, or on research. Other images from the conference and my delegate tag.","Sustainability, Urban, Data Science/AI/Robotics",I learnt about it by searching for relevant conferences to my field. The WCS is one of the biggest conferences for urban planning.,"Singapore, at the Marina Bay Sands Expo Convention Center.",Yes,Spring/Summer Junior
NYU Tandon Undergraduate Summer Research Program ,Academic Excellence,"Research/Lab Work,Special Program",Worked on New York State Food Systems Landscape Analysis project under Professor Alice Reznickova and Wythe Marschall. The research work took place over the course of 10 weeks. ,"Grand Challenges: Advance health informatics 

Our team's focus for the research was to understand food insecurity in New York State. The goal of this was to identify barriers to food and nutrition security and ultimately recommend interventions to address this issue. Although data on food security is available, it is limited and not widely applied on the local level.","This program has contributed to my academic and professional development. Because I focused on research this summer, I was able to fully immerse myself into the work. I got to better understand some of the challenges with research work and also got the opportunity to collaborate with other people in different institutions for this work.",5/23/2022,7/29/2022,"https://engineering.nyu.edu/research-innovation/student-research/undergraduate-summer-research-program

https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/centers-of-research/center-sustainable-business/news-events/news-insights/nyu-stern-and-cornell-launch-foodmap-ny-research-program-identify-0","Screen Shot 2022-08-04 at 1.55.44 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/GeRJ1wi6FsDr6NwsIrVz0g/yetw-oQagmHN6JzSjaUCa2ZnypNsu9KCJdoHf-1kcw1q48qJWuyZASx6BeTMkO-Mj-qtRt3wMlEqA9VEWjjtQK-cmvRUBwcSzmNAIKt6I4Wtq86pndyP8SUdK_DTFtCT7cDuKgf1yPEGckngSVH31XgGlgU7j_j8y_I1R6ly4Fc/bmapckgch3z4x93Cfg1-RDKX8CTf-xbsrukOYFVl2B8),Screen Shot 2022-08-04 at 1.55.11 AM.png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/MxgGXyDn4dJMOnEdMdJEiA/lG0W5vrEqszW9zI9l9jrk_UkU6r6YO3WuNME4lwQuGBGLUh1qmEk6kKj4OeKs7smn6bKw6FsRYzgkNj-5mVYdsSwWJSeggK4w0e77mXWRCy3J1NeKtgA1Us_5WhovJg0y3TJiBEwuzBFRwczJCCMelj6VdT6nmx4zYbdG9RibUg/CuERfnt37SbA8p_9s2yq-QuVca8xvg_0mfZ75BTXYpQ)",Screenshots of some presentations that we did during the program.,"Urban, Health, Data Science/AI/Robotics",Through Professor Reznickova. I have been working with her over the last few years and she informed me about the opportunity to work with her on this project through UGSRP.,"USA, Brookyln, NY. At Tandon School of Engineering.",No,Spring/Summer Junior
3D Recycled Glass Printing in Singapore,Global Competency,Research/Lab Work,I was hired to conduct the intial phase of research on the feasibility of using recycled glass for 3D printing. Singapore faces a lot of inefficiencies with its glass recycling program. This research was aimed to find an alternative method for upcycling glass waste rather than landfilling it.,"SDG 12 Responsible consumption and production

As glass recycling was found to be ineffecient in Singapore, a big aim of the study was to figure out if it was possible to use discarded glass for 3D printing instead. The study came about with the interest of circular economies and waste reduction. ","This was one of my first experiences working on research independently. It was also interesting to work with resources I was unfamiliar with, outside of the American context. This experience deepened my interest in research work and shaped my interest in various opportunities later on. ",5/1/2020,7/31/2020,N/A,,N/A,Sustainability,"I got this opprtunity through my father, who is an architecture historian. He was forming potential grant proposals from the government. This research was an idea that he came up with and wanted to understand if the potential was even worth investigating further.",Singapore,No,Fall/Winter Sophomore
"Agriculture, Food & Human Values Conference ",Professional Development,Conference,"This year's theme for the conference was cultivating connections: exploring entry points into sustainable food systems. The people at the conference were mostly PhD candidates, academics, and industry professionals. Throughout the conference, presenters shared their work or talked about their papers.","SDG 12 Responsible consumption and production

SDG 17 Partnerships for the goals

A big part of the conference was on food security and farming practices. We understand that there is a lot of work that needs to be done in the field. The conference was an opportunity to discuss the gaps and solutions, while also celebrating the work that has been achieved thus far. A lot of work in the food and agriculture field has to also do with collaboration, as agencies need to work together in order to bring about long-term and sustainable success. ","The conference was a very informative experience for me. At the conference, I got to meet many people and learn a lot about food and agriculture. It was also very affirming to meet and listen to people passionate about the same things as me. The conference was a great platform to hear about others' research, and it highlighted the importance of such occasions for sharing. ",5/18/2022,5/21/2022,https://cultivatingconnections2022.uga.edu/,,N/A,"Sustainability, Health","I found out about this opportunity through my advisor, Professor Reznickova. She was the one who invited me to attend this conference and got me the funding to attend it.","Athens, GA, USA",No,Spring/Summer Junior
Earth Celebrations,Commitment to Service,Volunteer Event/Experience,Earth Celebrations is a non-profit organization from the Lower East side found in 1991. The goal of this organization is to engage communities in generating ecological and social change through the arts. ,"A UN Sustainable Development goal that this program supports includes both ""Sustainable Cities and Communities"" and ""Quality Education."" This non-profit highlights artists from NYC neighborhoods who are passionate and dedicated to expressing and sharing their sustainable art practices and creations. They also emphasize community outreach and educating volunteers of all backgrounds about the value of their contribution to creating a sustainable product. ","One of the most memorable parts of this volunteer experience was seeing the amount of overlap between the terms and ideas I was familiar with as a bio major with sustainable artwork. For example, a term that I repeatedly hear as it concerns biomedical device ideation is the concept of being ""biodegradable."" As we create new technology, a focus should be on ensuring that these devices can breakdown easily in the environment to promote sustainability. This same standard was upheld in this non-profit where the artwork generated was meant for both appreciation, teaching, and finally sustainable removal. ",3/7/2022,4/28/2022,https://earthcelebrations.com/,,N/A,Sustainability,This volunteer opportunity was found on the NYC Volunteer excel sheet provided earleir in the semester. ,"New York, NY",No,Spring/Summer Junior
NEBEC Conference,Academic Excellence,Conference," As a participant in the 2022 Northeast Bioengineering Conference, I was provided firsthand exposure into the current state of research in the bioengineering field spanning from the creation of novel prosthetic devices to the discovery of specialized signaling molecules found in our body responsible for growth and development.  

Hosted by Columbia University, the conference drew participation from faculty and students across top research institutes in the Northeast region.  ","The entirety of this conference could be considered as a dedication to the Grand Challenge of ""Engineering Better Medicines."" Each of the professors leading seminars presented their research efforts which all aimed to solve a certain aspect in personalized medicine, tech development, or biomedical engineering. Even during the undergradaute poster session, projects revealed the current status of academic research with emphasis on prototyping and troubleshooting. Another aspect of this grand challenge that was highlighted by this conference was the importance of scientific communication. Throughout the day, the conference aimed to bring scientists of different backgrounds together to exhnage information that could further help all participants.","During the undergraduate poster session on the first day of the conference, I met students with similar research interests from Stevens, RPI, and UMass. My conversations with these students revealed the differences in research focus that these schools had compared to Tandon. Specifically, in terms of senior capstone projects, it was interesting to hear the structure of their courses and expectations for prototype design and development.  

 

During some of the meet-and-greet sessions, I had the chance to talk to several grad students who were able to offer me insight into the future of my GLASS project. One of the students was also conducting mechanical testing on a biomaterial so much of our conversation focused on the machine parameters she had tried troubleshooting for a few of her experiments. It was gratifying to be able to bounce ideas off her and come out of the conference with some new questions to guide my research.   ",4/23/2022,4/23/2022,https://www.nebec.org/conference-info.html,,N/A,Health,NYU Biomedical Engineering Society newsletter,"New York, NY",Yes,Spring/Summer Junior
Undergraduate Research Assistant at the Montclare Lab,Academic Excellence,Research/Lab Work,"As an undergraduate researcher at the Montclare Lab, my goal is to learn and assist in the development of protein biomaterials that can serve a wide range of functions. This includes the development of adhesive hydrogels and water responsive protein triblock copolymers. ","At it's core, projects at the Montclare lab support the Engineering Grand Challenge ""Engineering Better Medicines"" and the UN Sustainable Development Goal ""Good Health and Well Being."" For example, one of the projects I am working on at the lab is the development of an adhesive hydrogel that can be used to treat and protect surface wounds and abrasions. This engineering project does focus on providing a better alternative to current wound treatment options as it utilitzes protien biomaterials that are inherently biocompatible. Furthermore, it can be considered biodegradable which aligns with the UN's larger sustainability goals. ","For almost a year now, working as a researcher in the Montclare Lab has fully
allowed me to immerse myself in the day-to-day activities of a bioengineer and scientist. From figuring out how to analyze different temperature scans to running gel electrophoresis and even growing used to the distinct smell of bacteria cells, my time in the lab has allowed me to find my footing in a field I am beginning to realize my growing passion for. Furthermore, my lab experience has helped me bridge the gap between classroom learning and application. Sitting in my Molecular Biology lectures reminded me of my first few days in the lab when I first went through the process of expressing never-before-seen proteins. Every lecture in my Tissue Engineering class left me amazed at the possibilities made available with all the different biomaterials I am lucky enough to experiment with. ",6/8/2021,5/5/2023,http://montclare.poly.edu/,,N/A,Health,Email sent by Montclare Lab for recruitment,"United States, New York, New York",Yes,Fall/Winter Junior 
Precapstone Class,Academic Excellence,Special Course,"NYU Tandon's precapstone class under Sara Thermer provided me with the skills I needed to determine project feasibility and expansion at some of the earliest stages of my GLASS project. Furthermore, the class offered me a chance to meet individuals with different academic backgrounds who could offer unique insight into my project.","One of the lab components of this class was focused in biotechnology under the direction of Professor Montclare and Jacob Kronenberg. During this two week lab, we worked to genetically engineer cells to express a protein via transformation. The lab work conducted reflects growing interest by the scientific community to rely on genetic engineering to enhace or improve agricultural output, drug production, and food security. These advancements made by genetic engineering address the UN Grand Challenge of ""Engineering Better Medicines"" and the several of the UN Sustainable Development goals including ""Zero Hunger"" and ""Good Health and Well Being.""","Throughout the semester, an important emphasis was always placed on designing and working on projects that were innovative and had smart design. For me, this meant ensuring that the designs or ideas I had were accessible for different target groups and solved a niche problem. As someone with prior experience in research this was a concept I continuously had to remind myself of as this brings out the entrepeneur who knows how to market an idea they find value in. ",9/6/2021,12/10/2021,N/A,,N/A,"Health, Sustainability",Recruited by Professor Montclare ,"United States, New York, NY",Yes,Fall/Winter Junior 
International Human Rights Course,Global Competency,Special Course,"To fulfill the global component to replace our trip to Abu Dhabi, I chose to take the course ""International Human Rights"" offered from NYU Florence. The goal of this course was to expose us to the rights inherent to all under the Universal Declaration of Human Rights. ","The Universal Declaration of Human Rights is an international piece of legislation that outlines the rights and freedoms of all human beings. Several of the rights we highlighted in this course overlap wit the UN Sustainable Development Goals. For example, Articles 22-27 of the document establish an individuals right to economic, social, and culral rights which includes healthcare. This is a shared value upheld in the UN Sustainable Development Goal of ""good health,"" ""no hunger,"" and ""no poverty.""","During sophomore spring I had the opportunity to take the course “International Human Rights” offered virtually from NYU Florence. As a human rights-based class, each lecture focused on a different humanitarian issue and the means by which different countries protected the people under their jurisdiction. My ten other classmates were Zooming in from various parts of the world including France, Nigeria, and China. This diversity was always reflected in the various debates we had during our weekly sessions and the international case studies presented. Many of the conversations reflected topics that were referenced in our GLASS seminars as it relates to the idea of being a global engineer. Specifically, the need to address the cultural context of a situation and opportunities to involve the “locals” of that area to devise a solution that is both appropriate and relevant for them. Even though this class was completely foreign to me in terms of material, the lessons I learned from an international perspective and the dangers of the US-centric gaze were invaluable.   ",1/25/2021,5/7/2021,N/A,,N/A,"Health, Sustainability, Urban",NYU study abroad course offering list,"Italy, Florence (virtual)",No,Spring/Summer Sophomore 
Senior Writer/Editor at NYU Her Campus,Leadership Development,Student Activity/Event/Club,"Her Campus is an online magazine platform with it's target audience being the female student body at any given university/college. Currently, Her Campus thrives at over 400 schools in 9 countries. NYU's Her Campus chapter aims to write articles that speak to the specific experience of being a student in the city. ","Her Campus offers writers, editors, and even readers of our magazine to grow in awareness of any topic relating to either the UN Sustainable Development Goals or even the Grand Challenges. Writers are encouraged to bring forth articles that relate to social and cultural events that inspire them and they see fit to bring to our audience's attention. By the same token, editors have the responsibility of ensuring that their message is translated clearly. For example, when I was a writer for the magazine some of the articles I was most interested in tackling were related to health specifically anything related to COVID at that time (a major point in both the UN Sustainability Goals and Grand Challenge). ","This experience has allowed me to grow as a writer and editor the past few years. Each week, I am given articles to look at it from various members of our club who each bring to the table a unique writing style and experience. Their pieces allow to constantly learn something new about our school, the city, or even their own hobbies/interests. As a senior editor of Her Campus, this opportunity also allowed me to better my managing and communication skills as this was vital in pushing our writers to create a more polished finished product. ",2/1/2021,5/12/2023,https://www.hercampus.com/school/nyu/,,N/A,Communications/IT,NYU Club Fest,"New York, NY",No,Spring/Summer Sophomore 
